Dimensions.Height,Dimensions.Length,Dimensions.Width,Engine Information.Driveline,Engine Information.Engine Type,Engine Information.Hybrid,Engine Information.Number of Forward Gears,Engine Information.Transmission,Fuel Information.City mpg,Fuel Information.Fuel Type,Fuel Information.Highway mpg,Identification.Classification,Identification.ID,Identification.Make,Identification.Model Year,Identification.Year,Engine Information.Engine Statistics.Horsepower,Engine Information.Engine Statistics.Torque,Speed.Maximum,Speed.Accelaration,Color,Price,number_of_owners,pets,smoking,location,number_of_replacements,km
249,80,8,All-wheel drive,Saab 2.0L 4 Cylinder 210 hp 221 ft-lbs Turbo,True,6,6 Speed Manual,20,Gasoline,29,Manual transmission,2011 Saab 9-3 2.0T Aero Sport Sedan XWD MT,Saab,2011 Saab 9-3 Sport Sedan,2011,210,221,227,7.8,Preto,65000,5,No,No,Évora,2,80000
249,80,8,All-wheel drive,Saab 2.0L 4 Cylinder 210 hp 221 ft-lbs Turbo,True,6,6 Speed Manual,20,Gasoline,29,Manual transmission,2011 Saab 9-3 2.0T Sport Sedan XWD MT,Saab,2011 Saab 9-3 Sport Sedan,2011,210,221,222,8.5,Preto,65000,1,No,Yes,Coimbra,0,5000
163,207,244,All-wheel drive,Subaru 2.5L 4 cylinder 224 hp 226 ft-lbs Turbo,True,4,4 Speed Automatic Select Shift,19,Gasoline,24,Automatic transmission,2010 Subaru Forester 2.5XT Premium,Subaru,2010 Subaru Forester,2010,224,226,223,7.4,Azul Marinho,45000,3,No,No,Setúbal,4,150000
137,207,244,All-wheel drive,Subaru 2.5L 4 cylinder 170 hp 170 ft-lbs,True,5,5 Speed Manual,20,Gasoline,27,Manual transmission,2010 Subaru Forester 2.5X,Subaru,2010 Subaru Forester,2010,170,170,220,7.8,Prateado,50000,1,Yes,Yes,Portalegre,2,250000
163,207,244,All-wheel drive,Subaru 2.5L 4 cylinder 170 hp 170 ft-lbs,True,4,4 Speed Automatic Select Shift,20,Gasoline,26,Automatic transmission,2010 Subaru Forester 2.5X Limited,Subaru,2010 Subaru Forester,2010,170,170,225,8.5,Branco,55000,1,Yes,No,Bragança,3,170000
137,207,244,All-wheel drive,Subaru 2.5L 4 cylinder 170 hp 170 ft-lbs,True,4,4 Speed Automatic Select Shift,20,Gasoline,26,Automatic transmission,2010 Subaru Forester 2.5X AT,Subaru,2010 Subaru Forester,2010,170,170,237,8.5,Branco,55000,1,No,No,Lisboa,3,30000
163,207,244,All-wheel drive,Subaru 2.5L 4 cylinder 224 hp 226 ft-lbs Turbo,True,4,4 Speed Automatic Select Shift,19,Gasoline,24,Automatic transmission,2010 Subaru Forester 2.5XT Limited,Subaru,2010 Subaru Forester,2010,224,226,237,6.5,Laranja,50000,2,Yes,Yes,Évora,4,90000
163,207,244,All-wheel drive,Subaru 2.5L 4 cylinder 170 hp 170 ft-lbs,True,5,5 Speed Manual,20,Gasoline,27,Manual transmission,2010 Subaru Forester 2.5X Premium,Subaru,2010 Subaru Forester,2010,170,170,217,8.4,Amarelo,60000,1,Yes,No,Aveiro,1,200000
163,207,244,All-wheel drive,Subaru 2.5L 4 cylinder 170 hp 170 ft-lbs,True,4,4 Speed Automatic Select Shift,20,Gasoline,26,Automatic transmission,2010 Subaru Forester 2.5X Premium AT,Subaru,2010 Subaru Forester,2010,170,170,217,7.2,Prateado,50000,2,No,No,Aveiro,0,170000
150,6,28,Front-wheel drive,Lexus 3.5L 6 Cylinder 268 hp 248 ft-lbs,True,6,6 Speed Automatic Select Shift,19,Gasoline,27,Automatic transmission,2011 Lexus ES 350,Lexus,2011 Lexus ES,2011,268,248,250,5.5,Azul Marinho,85000,2,No,No,Aveiro,2,1000
155,235,29,All-wheel drive,Lexus 3.5L 6 Cylinder 303hp 274ft-lbs,True,6,6 Speed Automatic Select Shift,18,Gasoline,25,Automatic transmission,2010 Lexus GS 350 AWD Sedan,Lexus,2010 Lexus GS,2010,303,274,250,4.0,Verde Corrida,95000,5,Yes,Yes,Guarda,4,50000
144,235,29,Rear-wheel drive,Lexus 3.5L 6 Cylinder 303hp 274ft-lbs,True,6,6 Speed Automatic Select Shift,19,Gasoline,26,Automatic transmission,2010 Lexus GS 350 Sedan,Lexus,2010 Lexus GS,2010,303,274,260,4.0,Verde Corrida,80000,1,No,Yes,Coimbra,3,300000
144,235,29,Rear-wheel drive,Lexus 4.6L 8 Cylinder 342hp 339ft-lbs,True,8,8 Speed Automatic Select Shift,17,Gasoline,24,Automatic transmission,2010 Lexus GS 460 Sedan,Lexus,2010 Lexus GS,2010,342,339,270,2.5,Verde,250000,4,Yes,Yes,Évora,1,10000
195,227,203,All-wheel drive,Subaru 2.0L 4 Cylinder 148 hp 145 ft-lbs,True,5,5 Speed Manual,25,Gasoline,34,Manual transmission,2012 Subaru Impreza Sedan 2.0i,Subaru,2012 Subaru Impreza Sedan,2012,148,145,237,8.0,Encarnado,60000,2,Yes,No,Vila Real,2,10000
195,227,203,All-wheel drive,Subaru 2.0L 4 Cylinder 148 hp 145 ft-lbs,True,5,5 Speed Manual,25,Gasoline,34,Manual transmission,2012 Subaru Impreza Sedan 2.0i PZEV,Subaru,2012 Subaru Impreza Sedan,2012,148,145,222,8.5,Laranja,55000,2,Yes,No,Guarda,0,10
195,227,203,All-wheel drive,Subaru 2.0L 4 Cylinder 148 hp 145 ft-lbs,True,5,5 Speed Manual,25,Gasoline,34,Manual transmission,2012 Subaru Impreza Sedan 2.0i Premium PZEV,Subaru,2012 Subaru Impreza Sedan,2012,148,145,237,7.2,Cinzento,60000,1,No,Yes,Guarda,3,1000
195,227,203,All-wheel drive,Subaru 2.0L 4 Cylinder 148 hp 145 ft-lbs,True,5,5 Speed Manual,25,Gasoline,34,Manual transmission,2012 Subaru Impreza Sedan 2.0i Premium,Subaru,2012 Subaru Impreza Sedan,2012,148,145,220,7.4,Amarelo,65000,2,Yes,Yes,Viana do Castelo,4,2000
193,41,82,Front-wheel drive,Buick 3.9L 6 Cylinder 227 hp 237 ft-lbs FFV,True,4,4 Speed Automatic,13,E85,20,Automatic transmission,2011 Buick Lucerne CXL,Buick,2011 Buick Lucerne,2011,227,237,255,5.5,Cinzento,70000,1,No,No,Açores,4,100000
193,41,82,Front-wheel drive,Buick 3.9L 6 Cylinder 227 hp 237 ft-lbs FFV,True,4,4 Speed Automatic,13,E85,20,Automatic transmission,2011 Buick Lucerne CXL Premium,Buick,2011 Buick Lucerne,2011,227,237,247,4.5,Verde,90000,3,No,Yes,Lisboa,3,300000
193,41,82,Front-wheel drive,Buick 4.6L 8 Cylinder 292 hp 288 ft-lbs,True,4,4 Speed Automatic,15,Gasoline,23,Automatic transmission,2011 Buick Lucerne Super,Buick,2011 Buick Lucerne,2011,292,288,255,4.0,Verde,85000,2,Yes,No,Castelo Branco,4,200000
193,41,82,Front-wheel drive,Buick 3.9L 6 Cylinder 227 hp 237 ft-lbs FFV,True,4,4 Speed Automatic,13,E85,20,Automatic transmission,2011 Buick Lucerne CX,Buick,2011 Buick Lucerne,2011,227,237,245,6.0,Preto,70000,2,No,No,Guarda,0,150000
193,41,82,Front-wheel drive,Buick 3.9L 6 Cylinder 227 hp 237 ft-lbs FFV,True,4,4 Speed Automatic,17,Gasoline,26,Automatic transmission,2010 Buick Lucerne CX-2,Buick,2010 Buick Lucerne,2010,227,237,250,4.0,Amarelo,95000,1,Yes,No,Santarém,2,40000
193,41,82,Front-wheel drive,Buick 3.9L 6 Cylinder 227 hp 237 ft-lbs FFV,True,4,4 Speed Automatic,17,Gasoline,26,Automatic transmission,2010 Buick Lucerne CXL,Buick,2010 Buick Lucerne,2010,227,237,260,4.0,Amarelo,90000,5,Yes,Yes,Viseu,3,90000
193,41,82,Front-wheel drive,Buick 3.9L 6 Cylinder 227 hp 237 ft-lbs FFV,True,4,4 Speed Automatic,17,Gasoline,26,Automatic transmission,2010 Buick Lucerne CX,Buick,2010 Buick Lucerne,2010,227,237,250,4.0,Laranja Lava,80000,1,No,Yes,Aveiro,4,90000
193,41,82,Front-wheel drive,Buick 3.9L 6 Cylinder 227 hp 237 ft-lbs FFV,True,4,4 Speed Automatic,13,E85,20,Automatic transmission,2010 Buick Lucerne CXL Special Edition,Buick,2010 Buick Lucerne,2010,227,237,245,5.0,Preto,80000,1,No,No,Açores,3,10
193,41,82,Front-wheel drive,Buick 3.9L 6 Cylinder 227 hp 237 ft-lbs FFV,True,4,4 Speed Automatic,17,Gasoline,26,Automatic transmission,2010 Buick Lucerne CXL-5,Buick,2010 Buick Lucerne,2010,227,237,255,6.0,Azul Marinho,75000,3,No,Yes,Madeira,3,60000
193,41,82,Front-wheel drive,Buick 3.9L 6 Cylinder 227 hp 237 ft-lbs FFV,True,4,4 Speed Automatic,17,Gasoline,26,Automatic transmission,2010 Buick Lucerne CXL Premium,Buick,2010 Buick Lucerne,2010,227,237,255,5.0,Prateado,90000,5,Yes,No,Coimbra,1,60000
193,41,82,Front-wheel drive,Buick 3.9L 6 Cylinder 227 hp 237 ft-lbs FFV,True,4,4 Speed Automatic,17,Gasoline,26,Automatic transmission,2010 Buick Lucerne CXL-3,Buick,2010 Buick Lucerne,2010,227,237,250,5.5,Azul Marinho,85000,4,Yes,No,Évora,3,300000
193,41,82,Front-wheel drive,Buick 4.6L 8 Cylinder 292 hp 288 ft-lbs,True,4,4 Speed Automatic,15,Gasoline,22,Automatic transmission,2010 Buick Lucerne Super,Buick,2010 Buick Lucerne,2010,292,288,245,5.5,Prateado,95000,1,No,No,Braga,0,20000
193,41,82,Front-wheel drive,Buick 3.9L 6 Cylinder 227 hp 237 ft-lbs FFV,True,4,4 Speed Automatic,17,Gasoline,26,Automatic transmission,2010 Buick Lucerne CXL-4,Buick,2010 Buick Lucerne,2010,227,237,260,4.5,Azul Marinho,85000,2,Yes,Yes,Beja,2,20000
203,223,64,Front-wheel drive,Buick 2.0L 4 Cylinder 220 hp 258 ft-lbs FFV,True,6,6 Speed Automatic Select Shift,13,E85,21,Automatic transmission,2011 Buick Regal CXL Turbo,Buick,2011 Buick Regal,2011,220,258,222,8.8,Cinzento,55000,2,Yes,No,Viseu,3,30000
203,223,64,Front-wheel drive,Buick 2.4L 4 Cylinder 182 hp 172 ft-lbs Hybrid,True,6,6 Speed Automatic Select Shift,19,Gasoline,30,Automatic transmission,2011 Buick Regal CXL,Buick,2011 Buick Regal,2011,182,172,237,7.2,Preto,60000,1,No,Yes,Porto,1,20000
246,102,83,Rear-wheel drive,Aston Martin 5.9L 12 Cylinder 470 hp 443 ft-lbs,True,6,6 Speed Manual,11,Gasoline,17,Manual transmission,2011 Aston Martin DB9 Volante,Aston Martin,2011 Aston Martin DB9 Volante,2011,470,443,300,2.5,Branco,150000,2,Yes,No,Viana do Castelo,1,30000
246,102,83,Rear-wheel drive,Aston Martin 5.9L 12 Cylinder 470 hp 443 ft-lbs,True,6,6 Speed Automatic Select Shift,13,Gasoline,20,Automatic transmission,2011 Aston Martin DB9 Volante AT,Aston Martin,2011 Aston Martin DB9 Volante,2011,470,443,270,2.0,Branco,250000,1,Yes,No,Portalegre,1,70000
170,37,8,Front-wheel drive,Saab 2.0L 4 Cylinder 210 hp 221 ft-lbs Turbo,True,5,5 Speed Automatic,19,Gasoline,28,Automatic transmission,2010 Saab 9-3 2.0T Aero Sport Sedan,Saab,2010 Saab 9-3 Sport Sedan,2010,210,221,230,8.5,Branco,55000,1,No,No,Guarda,3,20000
170,37,8,All-wheel drive,Saab 2.0L 4 Cylinder 210 hp 221 ft-lbs Turbo,True,6,6 Speed Automatic,17,Gasoline,27,Automatic transmission,2010 Saab 9-3 2.0T Sport Sedan XWD,Saab,2010 Saab 9-3 Sport Sedan,2010,210,221,215,7.0,Amarelo,50000,3,No,No,Évora,2,100000
170,37,8,All-wheel drive,Saab 2.0L 4 Cylinder 210 hp 221 ft-lbs Turbo,True,6,6 Speed Automatic,17,Gasoline,27,Automatic transmission,2010 Saab 9-3 2.0T Aero Sport Sedan XWD,Saab,2010 Saab 9-3 Sport Sedan,2010,210,221,222,7.0,Prateado,50000,3,Yes,No,Setúbal,3,50000
170,37,8,All-wheel drive,Saab 2.0L 4 Cylinder 210 hp 221 ft-lbs Turbo,True,6,6 Speed Manual,20,Gasoline,29,Manual transmission,2010 Saab 9-3 2.0T Sport Sedan XWD MT,Saab,2010 Saab 9-3 Sport Sedan,2010,210,221,230,7.2,Azul Corrida,55000,5,No,No,Évora,4,150000
170,37,8,Front-wheel drive,Saab 2.0L 4 Cylinder 210 hp 221 ft-lbs Turbo,True,5,5 Speed Automatic,19,Gasoline,28,Automatic transmission,2010 Saab 9-3 2.0T Sport Sedan AT,Saab,2010 Saab 9-3 Sport Sedan,2010,210,221,227,7.4,Azul Marinho,60000,1,No,No,Aveiro,2,90000
170,37,8,Front-wheel drive,Saab 2.0L 4 Cylinder 210 hp 221 ft-lbs Turbo,True,6,6 Speed Manual,21,Gasoline,31,Manual transmission,2010 Saab 9-3 2.0T Sport Sedan,Saab,2010 Saab 9-3 Sport Sedan,2010,210,221,222,7.5,Azul Marinho,60000,2,Yes,Yes,Viseu,3,70000
224,212,146,Rear-wheel drive,Jeep 3.6L 6 Cylinder 290 hp 260 ft-lbs FFV,True,5,5 Speed Automatic,16,Gasoline,23,Automatic transmission,2011 Jeep  Grand Cherokee Laredo 4x2,Grand Cherokee,2011 Jeep Grand Cherokee,2011,290,260,255,6.0,Laranja,75000,3,Yes,Yes,Bragança,0,60000
224,212,146,Four-wheel drive,Jeep 3.6L 6 Cylinder 290 hp 260 ft-lbs FFV,True,5,5 Speed Automatic,16,Gasoline,22,Automatic transmission,2011 Jeep Grand Cherokee Laredo 4x4,Grand Cherokee,2011 Jeep Grand Cherokee,2011,290,260,260,4.0,Azul,95000,1,Yes,Yes,Porto,0,2000
224,212,146,Rear-wheel drive,Jeep 3.6L 6 Cylinder 290 hp 260 ft-lbs FFV,True,5,5 Speed Automatic,16,Gasoline,23,Automatic transmission,2011 Jeep Grand Cherokee Laredo X 4x2,Grand Cherokee,2011 Jeep Grand Cherokee,2011,290,260,247,6.0,Amarelo,75000,1,Yes,Yes,Santarém,3,10000
224,212,146,Rear-wheel drive,Jeep 5.7L 8 Cylinder 360 hp 390 ft-lbs,True,5,5 Speed Automatic,14,Gasoline,20,Automatic transmission,2011 Jeep Grand Cherokee Laredo X 5.7L 4x2,Grand Cherokee,2011 Jeep Grand Cherokee,2011,360,390,350,2.5,Amarelo,100000,3,Yes,No,Portalegre,3,1000
224,212,146,Four-wheel drive,Jeep 3.6L 6 Cylinder 290 hp 260 ft-lbs FFV,True,5,5 Speed Automatic,12,E85,16,Automatic transmission,2011 Jeep Grand Cherokee Laredo X 4x4,Grand Cherokee,2011 Jeep Grand Cherokee,2011,290,260,244,6.0,Prateado,80000,5,Yes,Yes,Castelo Branco,1,170000
224,212,146,Four-wheel drive,Jeep 5.7L 8 Cylinder 360 hp 390 ft-lbs,True,5,5 Speed Automatic,13,Gasoline,19,Automatic transmission,2011 Jeep Grand Cherokee Laredo X 5.7L 4x4,Grand Cherokee,2011 Jeep Grand Cherokee,2011,360,390,290,3.0,Verde Corrida,250000,4,No,Yes,Açores,4,200000
224,212,146,Rear-wheel drive,Jeep 3.6L 6 Cylinder 290 hp 260 ft-lbs FFV,True,5,5 Speed Automatic,13,E85,17,Automatic transmission,2011 Jeep Grand Cherokee Limited 4x2,Grand Cherokee,2011 Jeep Grand Cherokee,2011,290,260,250,4.0,Laranja Lava,80000,5,Yes,No,Guarda,1,80000
224,212,146,Rear-wheel drive,Jeep 5.7L 8 Cylinder 360 hp 390 ft-lbs,True,5,5 Speed Automatic,14,Gasoline,20,Automatic transmission,2011 Jeep Grand Cherokee Limited 5.7L 4x2,Grand Cherokee,2011 Jeep Grand Cherokee,2011,360,390,320,2.5,Preto,100000,1,No,No,Coimbra,2,300000
224,212,146,Four-wheel drive,Jeep 3.6L 6 Cylinder 290 hp 260 ft-lbs FFV,True,5,5 Speed Automatic,12,E85,16,Automatic transmission,2011 Jeep Grand Cherokee Limited 4x4,Grand Cherokee,2011 Jeep Grand Cherokee,2011,290,260,244,6.0,Azul Corrida,70000,5,Yes,No,Évora,3,1000
224,212,146,Four-wheel drive,Jeep 5.7L 8 Cylinder 360 hp 390 ft-lbs,True,5,5 Speed Automatic,13,Gasoline,19,Automatic transmission,2011 Jeep Grand Cherokee Limited 5.7L 4x4,Grand Cherokee,2011 Jeep Grand Cherokee,2011,360,390,290,2.0,Azul Marinho,250000,5,Yes,No,Viseu,0,10
224,212,146,Rear-wheel drive,Jeep 3.6L 6 Cylinder 290 hp 260 ft-lbs FFV,True,5,5 Speed Automatic,16,Gasoline,23,Automatic transmission,2011 Jeep Grand Cherokee Overland 4x2,Grand Cherokee,2011 Jeep Grand Cherokee,2011,290,260,245,4.0,Encarnado,80000,1,No,Yes,Aveiro,1,150000
224,212,146,Rear-wheel drive,Jeep 5.7L 8 Cylinder 360 hp 390 ft-lbs,True,5,5 Speed Automatic,14,Gasoline,20,Automatic transmission,2011 Jeep Grand Cherokee Overland 5.7L 4x2,Grand Cherokee,2011 Jeep Grand Cherokee,2011,360,390,320,2.0,Branco,100000,4,No,No,Castelo Branco,2,70000
224,212,146,Four-wheel drive,Jeep 3.6L 6 Cylinder 290 hp 260 ft-lbs FFV,True,5,5 Speed Automatic,16,Gasoline,22,Automatic transmission,2011 Jeep Grand Cherokee Overland 4x4,Grand Cherokee,2011 Jeep Grand Cherokee,2011,290,260,244,4.0,Laranja,85000,4,Yes,No,Madeira,2,70000
224,212,146,Four-wheel drive,Jeep 5.7L 8 Cylinder 360 hp 390 ft-lbs,True,5,5 Speed Automatic,13,Gasoline,19,Automatic transmission,2011 Jeep Grand Cherokee Overland 5.7L 4x4,Grand Cherokee,2011 Jeep Grand Cherokee,2011,360,390,320,3.0,Verde,100000,5,No,Yes,Guarda,4,150000
224,212,146,Rear-wheel drive,Jeep 3.6L 6 Cylinder 290 hp 260 ft-lbs FFV,True,5,5 Speed Automatic,16,Gasoline,23,Automatic transmission,2011 Jeep Grand Cherokee Overland Summit 4x2,Grand Cherokee,2011 Jeep Grand Cherokee,2011,290,260,245,4.0,Azul,75000,2,Yes,No,Viseu,2,50000
224,212,146,Rear-wheel drive,Jeep 5.7L 8 Cylinder 360 hp 390 ft-lbs,True,5,5 Speed Automatic,14,Gasoline,20,Automatic transmission,2011 Jeep Grand Cherokee Overland Summit 5.7L 4x2,Grand Cherokee,2011 Jeep Grand Cherokee,2011,360,390,350,2.0,Verde,200000,2,No,Yes,Faro,3,2000
224,212,146,Four-wheel drive,Jeep 3.6L 6 Cylinder 290 hp 260 ft-lbs FFV,True,5,5 Speed Automatic,16,Gasoline,22,Automatic transmission,2011 Jeep Grand Cherokee Overland Summit 4x4,Grand Cherokee,2011 Jeep Grand Cherokee,2011,290,260,245,4.0,Preto,95000,1,No,No,Viseu,3,30000
224,212,146,Four-wheel drive,Jeep 5.7L 8 Cylinder 360 hp 390 ft-lbs,True,5,5 Speed Automatic,13,Gasoline,19,Automatic transmission,2011 Jeep Grand Cherokee Overland Summit 5.7L 4x4,Grand Cherokee,2011 Jeep Grand Cherokee,2011,360,390,290,2.5,Cinzento,150000,2,Yes,Yes,Portalegre,0,300000
224,212,146,Four-wheel drive,Jeep 3.6L 6 Cylinder 290 hp 260 ft-lbs FFV,True,5,5 Speed Automatic,12,E85,16,Automatic transmission,2011 Jeep Grand Cherokee Laredo X 70th Anniversary 4x4,Grand Cherokee,2011 Jeep Grand Cherokee,2011,290,260,247,6.0,Azul Marinho,90000,3,Yes,No,Viana do Castelo,0,2000
224,212,146,Four-wheel drive,Jeep 5.7L 8 Cylinder 360 hp 390 ft-lbs,True,5,5 Speed Automatic,13,Gasoline,19,Automatic transmission,2011 Jeep Grand Cherokee Laredo X 70th Anniversary 5.7L 4x4,Grand Cherokee,2011 Jeep Grand Cherokee,2011,360,390,320,1.9,Cinzento,250000,3,No,Yes,Aveiro,3,250000
170,37,8,All-wheel drive,Saab 2.0L 4 Cylinder 210 hp 221 ft-lbs Turbo,True,6,6 Speed Manual,20,Gasoline,29,Manual transmission,2010 Saab 9-3 2.0T Aero Sport Sedan XWD MT,Saab,2010 Saab 9-3 Sport Sedan,2010,210,221,225,7.2,Laranja Lava,60000,4,No,Yes,Santarém,1,60000
170,37,8,Front-wheel drive,Saab 2.0L 4 Cylinder 210 hp 221 ft-lbs Turbo,True,6,6 Speed Manual,21,Gasoline,31,Manual transmission,2010 Saab 9-3 2.0T Aero Sport Sedan MT,Saab,2010 Saab 9-3 Sport Sedan,2010,210,221,240,7.4,Preto,45000,2,No,No,Braga,3,300000
246,102,83,Rear-wheel drive,Aston Martin 5.9L 12 Cylinder 470 hp 443 ft-lbs,True,6,6 Speed Manual,11,Gasoline,17,Manual transmission,2010 Aston Martin DB9 Volante,Aston Martin,2010 Aston Martin DB9 Volante,2010,470,443,290,2.5,Laranja,150000,4,No,No,Viana do Castelo,3,100000
246,102,83,Rear-wheel drive,Aston Martin 5.9L 12 Cylinder 470 hp 443 ft-lbs,True,6,6 Speed Automatic Select Shift,13,Gasoline,20,Automatic transmission,2010 Aston Martin DB9 Volante AT,Aston Martin,2010 Aston Martin DB9 Volante,2010,470,443,300,2.5,Verde,100000,5,No,No,Açores,4,40000
195,227,203,All-wheel drive,Subaru 2.5L 4 cylinder 265 hp 244 ft-lbs Turbo,True,5,5 Speed Manual,18,Gasoline,25,Manual transmission,2010 Subaru Impreza WRX Sedan,Subaru,2010 Subaru Impreza WRX Sedan,2010,265,244,247,6.0,Preto,75000,5,No,Yes,Açores,1,2000
195,227,3,All-wheel drive,Subaru 2.5L 4 cylinder 265 hp 244 ft-lbs Turbo,True,5,5 Speed Manual,19,Gasoline,25,Manual transmission,2011 Subaru Impreza WRX Sedan,Subaru,2011 Subaru Impreza WRX Sedan,2011,265,244,245,6.0,Verde Corrida,85000,4,Yes,No,Viana do Castelo,4,170000
195,227,203,All-wheel drive,Subaru 2.5L 4 cylinder 170 hp 170 ft-lbs,True,4,4 Speed Automatic Select Shift,20,Gasoline,26,Automatic transmission,2010 Subaru Impreza Sedan 2.5i AT,Subaru,2010 Subaru Impreza Sedan,2011,170,170,215,6.5,Amarelo,55000,4,No,Yes,Setúbal,3,300000
195,227,203,All-wheel drive,Subaru 2.5L 4 cylinder 170 hp 170 ft-lbs,True,5,5 Speed Manual,20,Gasoline,27,Manual transmission,2010 Subaru Impreza Sedan 2.5i,Subaru,2010 Subaru Impreza Sedan,2011,170,170,220,8.8,Preto,65000,4,No,No,Braga,4,10
195,227,203,All-wheel drive,Subaru 2.5L 4 cylinder 170 hp 170 ft-lbs,True,4,4 Speed Automatic Select Shift,20,Gasoline,26,Automatic transmission,2011 Subaru Impreza Sedan 2.5i Premium AT,Subaru,2011 Subaru Impreza Sedan,2011,170,170,227,8.2,Laranja Lava,45000,2,No,No,Faro,1,30000
195,227,203,All-wheel drive,Subaru 2.5L 4 cylinder 170 hp 170 ft-lbs,True,5,5 Speed Manual,20,Gasoline,27,Manual transmission,2011 Subaru Impreza Sedan 2.5i,Subaru,2011 Subaru Impreza Sedan,2011,170,170,230,8.8,Verde,55000,5,Yes,No,Beja,2,20000
195,227,3,All-wheel drive,Subaru 2.5L 4 cylinder 305 hp 290 ft-lbs Turbo,True,6,6 Speed Manual,17,Gasoline,23,Manual transmission,2011 Subaru Impreza WRX STI Sedan,Subaru,2011 Subaru Impreza WRX Sedan,2011,305,290,247,4.5,Amarelo,85000,2,No,No,Castelo Branco,4,200000
195,227,203,All-wheel drive,Subaru 2.5L 4 cylinder 170 hp 170 ft-lbs,True,5,5 Speed Manual,20,Gasoline,27,Manual transmission,2011 Subaru Impreza Sedan 2.5i Premium,Subaru,2011 Subaru Impreza Sedan,2011,170,170,237,8.4,Preto,65000,2,Yes,No,Porto,1,10
195,227,203,All-wheel drive,Subaru 2.5L 4 cylinder 170 hp 170 ft-lbs,True,4,4 Speed Automatic Select Shift,20,Gasoline,26,Automatic transmission,2011 Subaru Impreza Sedan 2.5i AT,Subaru,2011 Subaru Impreza Sedan,2011,170,170,220,7.4,Prateado,50000,2,No,No,Porto,3,300000
214,167,52,Rear-wheel drive,Jeep 3.7L 6 Cylinder 210 hp 235 ft-lbs,True,5,5 Speed Automatic,16,Gasoline,21,Automatic transmission,2010 Jeep Grand Cherokee Laredo,Grand Cherokee,2010 Jeep Grand Cherokee,2010,210,235,220,7.8,Laranja,60000,1,Yes,No,Coimbra,2,20000
214,167,52,Rear-wheel drive,Jeep 5.7L 8 Cylinder 357 hp 389 ft-lbs,True,5,5 Speed Automatic,14,Gasoline,20,Automatic transmission,2010 Jeep Grand Cherokee Laredo 5.7L,Grand Cherokee,2010 Jeep Grand Cherokee,2010,357,389,320,3.0,Preto,200000,1,Yes,Yes,Santarém,4,5000
214,167,52,Four-wheel drive,Jeep 3.7L 6 Cylinder 210 hp 235 ft-lbs,True,5,5 Speed Automatic,15,Gasoline,20,Automatic transmission,2010 Jeep Grand Cherokee Laredo 4x4,Grand Cherokee,2010 Jeep Grand Cherokee,2010,210,235,222,8.0,Azul Marinho,45000,1,Yes,No,Lisboa,2,70000
214,167,52,Four-wheel drive,Jeep 5.7L 8 Cylinder 357 hp 389 ft-lbs,True,5,5 Speed Automatic,13,Gasoline,19,Automatic transmission,2010 Jeep Grand Cherokee Laredo 5.7L 4x4,Grand Cherokee,2010 Jeep Grand Cherokee,2010,357,389,290,2.0,Laranja Lava,250000,5,No,Yes,Portalegre,1,70000
214,167,52,Rear-wheel drive,Jeep 3.7L 6 Cylinder 210 hp 235 ft-lbs,True,5,5 Speed Automatic,16,Gasoline,21,Automatic transmission,2010 Jeep Grand Cherokee Limited,Grand Cherokee,2010 Jeep Grand Cherokee,2010,210,235,225,8.0,Azul Corrida,50000,2,No,No,Braga,4,2000
214,167,52,Rear-wheel drive,Jeep 5.7L 8 Cylinder 357 hp 389 ft-lbs,True,5,5 Speed Automatic,14,Gasoline,20,Automatic transmission,2010 Jeep Grand Cherokee Limited 5.7L,Grand Cherokee,2010 Jeep Grand Cherokee,2010,357,389,320,3.0,Branco,150000,1,No,Yes,Madeira,1,30000
214,167,52,Four-wheel drive,Jeep 3.7L 6 Cylinder 210 hp 235 ft-lbs,True,5,5 Speed Automatic,15,Gasoline,20,Automatic transmission,2010 Jeep Grand Cherokee Limited 4x4,Grand Cherokee,2010 Jeep Grand Cherokee,2010,210,235,220,6.5,Azul,55000,4,No,No,Aveiro,2,60000
214,167,52,Four-wheel drive,Jeep 5.7L 8 Cylinder 357 hp 389 ft-lbs,True,5,5 Speed Automatic,13,Gasoline,19,Automatic transmission,2010 Jeep Grand Cherokee Limited 5.7L 4x4,Grand Cherokee,2010 Jeep Grand Cherokee,2010,357,389,300,2.5,Azul Corrida,200000,1,Yes,No,Faro,0,30000
158,91,69,Four-wheel drive,Jeep 6.1L 8 Cylinder 420 hp 420 ft-lbs,True,5,5 Speed Automatic,12,Gasoline,16,Automatic transmission,2010 Jeep Grand Cherokee SRT8,Grand Cherokee,2010 Jeep Grand Cherokee,2010,420,420,290,2.0,Amarelo,200000,3,Yes,No,Faro,3,70000
5,115,59,Rear-wheel drive,Porsche 3.6L 6 Cylinder 620 hp 516 ft-lbs Turbo,True,6,6 Speed Manual,16,Gasoline,23,Manual transmission,2011 Porsche 911 GT2 RS Coupe,Porsche,2011 Porsche 911 Coupe,2011,620,516,350,2.0,Amarelo,150000,1,No,Yes,Açores,2,60000
19,120,64,Rear-wheel drive,Jeep 3.7L 6 Cylinder 210 hp 235 ft-lbs,True,4,4 Speed Automatic,16,Gasoline,22,Automatic transmission,2011 Jeep Liberty Sport 4x2,Jeep,2011 Jeep Liberty,2011,210,235,227,7.2,Preto,50000,4,No,No,Évora,2,2000
